Mohamed,Taman,@_tamanm
Yishai,Galatzer,yigalatz
Kirk,Pepperdine,kcpeppe
Laurie,Barth,laurieontech
Daniel,Hinojosa,dhinojosa
Hadi,Hariri,hhariri
Chris,Richardson,@crichardson
Mary,Grygleski,@mgrygles
Monica,Beckwith,Mon_beck
Josh,Cummings,jzheaux
Randall,Degges,rdegges
Christine,Flood,chf_the_grouch
Raju,Gandhi,looselytyped
M. Jeff,Wilson,@mjeffw
Bob,Paulin,bobpaulin
Bruno,Borges,brunoborges
Maarten,Mulders,mthmulders
Craig,Walls,habuma
Rajan,Gupta,rajangupta90
Donald,Raab,@TheDonRaab
Jeremy,Likness,@JeremyLikness
Glenn,Renfro,cppwfs
Roberto,Cortez,radcortez
Ray,Tsang,saturnism
Sangeeta,Nori,@NoriSangeeta
Mo,Haghighi,@mohaghighi
Raymond,Camden,raymondcamden
Oleg,Šelajev,shelajev
Steve,Fordham,@sfordham
Marcus,Hellberg,marcushellberg
Eric,Mizell,
Bruno,Baptista,brunobat_
Burr,Sutter,burrsutter
Jeffrey,Lent,
Dan,Heidinga,@DanHeidinga
Mike,Hartington,mhartington
Jen,Krieger,@mrry550
Adarsh,Shah,shahadarsh
Ana Maria,Mihalceanu,@ammbra1508
Jayashree,SK,@Jshreesk
Jonathan,Vila,vilojona
Edson,Yanaga,yanaga
Jan,Kleinert,jankleinert
Mark,Heckler,@mkheck
Roy,Russo,
Burk,Hufnagel,@BurkHufnagel
Mala,Gupta,@eMalaGupta
Mykyta,Protsenko,@mykyta_p
Paul,Anderson,@paul_asgteach
Aurelio,Garcia-Ribeyro,@aureliog
Jeremy,Davis,@argntprgrmr
Rosemary,Wang,joatmon08
David,Blevins,dblevins
Scott,Kramer,
Chandra,Guntur,@CGuntur
José,Paumard,@JosePaumard
Rob,Gordick,@rob_gordo
Valarie,Regas,@ValarieRegas
Justin,Lee,evanchooly
Nathaniel,Schutta,ntschutta
Orlando,Valdez,@orlandovaldez_
Derek,Weeks,https://twitter.com/weekstweets?lang=en
Dmitry,Chuyko,dchuyko
John,Walicki,johnwalicki
Jeanne,Boyarsky,jeanneboyarsky
Nelson,Cruz,@vlcc0
Jeff,Brown,@jeffscottbrown
Scott,Davis,scottdavis99
Billy,Korando,@BillyKorando
Sharma,Vedula,@Sharmavedula
Joe,Kutner,codefinger
Venelin,Koulaxazov,
Joel,Tosi,joeltosi
David,Krause,https://twitter.com/DaveK16820093
Rustam,Mehmandarov,@rmehmandarov
Vicente,Romero,
Simon,Ritter,speakjava
Zachary,Klein,@ZacharyAKlein
Graham,Charters,@gcharters
Jay,Kelkar,@jkelkar
Ko,Turk,KoTurk77
Kai,Waehner,@KaiWaehner
Andy,McCright,@AndrewMcCright
Cesar,Hernandez,CesarHgt
George,Adams,gdams_
Gene,Gotimer,CoverosGene
Spencer,Krum,Nibalizer
Sharat,Chander,Sharat_Chander
CECILI,REID,@cecili_reid
Baruch,Sadogursky,@jbaruch
Sebastian,Daschner,@DaschnerS
Todd,Sharp,recursivecodes
Viktor,Gamov,gamussa
Andrew,Malek,malekontheweb
Roman,Elizarov,relizarov
Natasha,Carlyon,nscarlyon
Henri,Tremblay,henri_tremblay
Venkat,Subramaniam,venkat_s
Stephen,Chin,steveonjava
VIJAY,SRINIVASA,vj_srinivasa
Gant,Laborde,gantlaborde
Yoel,Spotts,
Nikhil,Nanivadekar,nikhilnanivade
Dalia,Abo Sheasha,DaliaShea
Daneez,Owais,@daneezo
Hans,Dockter,hans_d
Roy,Clarkson,royclarkson
Kait,Parker,weatherkait
Juan,Bustamante,
Michael,Minella,michaelminella
Bryan,Robinson,brob
Oleksandr,Borysov,aiborisov
Steve,Poole,spoole167
Enrique,Zamudio,chochosmx
Kelly,Morrison,
William,Korando,@BillyKorando
Jessica,Pointing,@jessicapointing
Alberto,C. Ríos,albertoimpl
David,Laribee,laribee
Eleftheria,Stein-Kousathana,
Emily,Jiang,emilyfhjiang
Lee,Brandt,leebrandt
Shelley,Lambert,@ShelleyMLambert
Brian,Vermeer,BrianVerm
Ixchel,Ruiz,ixchelruiz
Derek,Keeler,
JJ,Asghar,jjasghar
Todd,Ginsberg,toddginsberg
Alex,Riviere,fimion
Miro,Cupak,@mirocupak
Gail,Anderson,@gail_asgteach
Grace,Jansen,@gracejansen27
Chris,Corriere,cacorriere
Tony,Stuchel,@StuchelDev
Josh,Long,starbuxman
Angie,Jones,techgirl1908
Ivar,Grimstad,ivar_grimstad
Nathaniel,Okenwa,@chatterboxCoder
Ken,Finnigan,@kenfinnigan
Neal,Ford,neal4d
Alasdair,Nottingham,nottycode
Ollie,Hughes,@olliehughes82
James,Ward,_JamesWard
Sean,Phillips,@seanmiphillips
Matthew,Knowles,MatthewYKnowles
Micah,Silverman,afitnerd
Chris,Thalinger,christhalinger
David,Neal,reverentgeek
Ludovic,Henry,
Spencer,Gibb,spencerbgibb
Gerald,Venzl,GeraldVenzl
Mark,West,markawest
Kenneth,Kousen,kenkousen
Fabio,Turizo,fabturizo
Erin,Schnabel,ebullientworks
Dinakar,Guniguntala,@dinogun
Freddy,Guime,fguime
